nombre,telefono,celular,correo
Laura Ruiz,5533123456,5523123456,al2173009876@azc.uam.mx
Luis Sanchez,5534112345,5514123456,al2173102345@azc.uam.mx
Maria Gomez,5533123456,5523123456,al2173112356@azc.uam.mx
Miguel Fernandez,5613123456,5614123456,al2212104321@azc.uam.mx
Raul Herrera,5534123456,5514123456,al2173105432@azc.uam.mx
Veronica Castro,5634123456,5615123456,al2173024567@azc.uam.mx
Wendy Rodriguez,5533456789,5512345678,al2173000516@azc.uam.mx
Prueba,00000001,00000001,z@gmail.com
Ana Martinez,3356123456,3356123456,al2173012456@gmail.com.mx
Antonio Reyes,5636123456,5617123456,al2173123456@gmail.com.mx
Javier Vera,3355123456, 5618341208,al2172005348@gmail.com.mx
Margarita Ruiz,5534123456,5514123456,al2173007654@gmail.com.mx
Pedro Ramirez,5533112345,5523123456,al2173001234@gmail.com.mx
Ricardo Jimenez,3355123456,3356123456,al2173056789@gmail.com.mx
Carlos Perez,5634123456,5614123456,al2212002145@outlook.com.mx
Cristina Diaz,5535123456,5516123456,al2173012345@outlook.com.mx
Fernando Soto,5634123456,5615123456,al2212103456@outlook.com.mx
Gabriela Perez,5614123456,5615123456,al2212008765@outlook.com.mx
Jose Lopez,5612345678,5612345678,al2212002118@outlook.com.mx
Rafael Gomez,3355123456,3356123456,al2212002157@outlook.com.mx
Sofia Torres,5635123456,5615123456,al2212101234@outlook.com.mx
